index,OrganizationLevel,SchoolCode,SchoolOrganizationid,CurrentSchoolType,SchoolYear,StudentGroupType,StudentGroup,GradeLevel,Suppression,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,Attendance,DisciplineRate,Avg. Average Class Size,Teacherexp_mean,Female,Asian,Black/ African American,Hispanic/ Latino of any race(s),White,English Language Learners,Foster Care,Homeless,Low-Income,Students with Disabilities
0,School,2138.0,101054.0,P,2018-19,All,All Students,5th Grade,None,70.8,10.4,13.5,34.4,36.5,90.5,2.5,32.0,12.1,49.494949494949495,2.0202020202020203,6.0606060606060606,12.121212121212121,69.6969696969697,9.090909090909092,0.0,4.040404040404041,16.161616161616163,16.161616161616163
22,School,2181.0,101061.0,P,2018-19,All,All Students,5th Grade,None,75.0,12.5,12.5,39.3,35.7,90.5,4.5,24.0,14.2,48.275862068965516,1.7241379310344827,12.068965517241379,13.793103448275861,56.89655172413793,0.0,0.0,1.7241379310344827,18.96551724137931,20.689655172413794
43,School,2730.0,101102.0,P,2018-19,All,All Students,5th Grade,None,56.8,18.5,18.5,37.0,19.8,90.5,3.5,29.0,11.8,50.617283950617285,4.938271604938271,7.407407407407407,11.11111111111111,65.4320987654321,6.172839506172839,0.0,2.4691358024691357,25.925925925925927,27.160493827160494
65,School,3717.0,101139.0,P,2018-19,All,All Students,5th Grade,None,79.1,7.0,11.6,37.2,41.9,90.5,6.5,21.0,8.7,38.46153846153846,10.256410256410257,10.256410256410257,2.5641025641025643,53.84615384615385,0.0,2.5641025641025643,0.0,33.333333333333336,25.641025641025642
86,School,2307.0,101081.0,P,2018-19,All,All Students,5th Grade,None,16.7,40.5,23.8,11.9,4.8,90.5,6.5,24.0,11.7,28.571428571428573,9.523809523809524,50.0,26.19047619047619,4.761904761904762,35.714285714285715,2.380952380952381,14.285714285714286,88.0952380952381,35.714285714285715
108,School,2070.0,101039.0,P,2018-19,All,All Students,5th Grade,None,52.4,23.8,20.6,28.6,23.8,90.5,4.5,25.0,12.6,42.1875,23.4375,7.8125,34.375,18.75,28.125,0.0,0.0,48.4375,7.8125
129,School,5406.0,105910.0,S,2018-19,All,All Students,5th Grade,N<10,,,,,,88.5,6.55,5.0,12.5,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
140,School,2209.0,101068.0,P,2018-19,All,All Students,5th Grade,None,54.4,27.9,17.6,41.2,13.2,90.5,3.5,19.0,10.9,44.067796610169495,16.949152542372882,25.423728813559322,18.64406779661017,28.8135593220339,25.423728813559322,0.0,5.084745762711864,55.932203389830505,18.64406779661017
162,School,2372.0,101087.0,P,2018-19,All,All Students,5th Grade,None,81.3,8.8,9.9,33.0,48.4,90.5,2.5,23.0,12.5,58.064516129032256,7.526881720430108,1.075268817204301,1.075268817204301,83.87096774193549,1.075268817204301,0.0,1.075268817204301,4.301075268817204,10.75268817204301
182,School,1751.0,101004.0,A,2018-19,All,All Students,5th Grade,None,11.8,0.0,5.9,11.8,0.0,86.5,9.5,9.0,11.5,31.25,0.0,18.75,0.0,75.0,0.0,0.0,0.0,6.25,31.25
