County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid8,Organizationid9,OrganizationLevel (PublicDirectory),OrganizationName,School Code,School Name,School Organization Id,SchoolYear,Avg. Average Class Size
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Birth to 3 Contracts,5048,104200,104200,School,Birth to 3 Contracts,5048.0,Birth to 3 Contracts,104200.0,2018-19,0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Residential Consortium,4263,101176,101176,School,Residential Consortium,4263.0,Residential Consortium,101176.0,2018-19,1
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Middle College High School,1547,100973,100973,School,Middle College High School,1547.0,Middle College High School,100973.0,2018-19,2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - South Lake High School,3778,101144,101144,School,South Lake High School,3778.0,South Lake High School,101144.0,2018-19,2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Seattle Skills Center,5260,105454,105454,School,Seattle Skills Center,5260.0,Seattle Skills Center,105454.0,2018-19,4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Bridges Transition,5406,105910,105910,School,Bridges Transition,5406.0,Bridges Transition,105910.0,2018-19,5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Interagency Programs,1635,100996,100996,School,Interagency Programs,1635.0,Interagency Programs,100996.0,2018-19,7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cascade Parent Partnership Program,1751,101004,101004,School,Cascade Parent Partnership Program,1751.0,Cascade Parent Partnership Program,101004.0,2018-19,9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Sand Point Elementary,5205,105168,105168,School,Sand Point Elementary,5205.0,Sand Point Elementary,105168.0,2018-19,12
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Cedar Park Elementary School,5487,106070,106070,School,Cedar Park Elementary School,5487.0,Cedar Park Elementary School,106070.0,2018-19,13
