SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationid,CurrentSchoolType,Gradelevel,All Students,Female,Male,Gender X,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities,DataAsOf
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,82,40.0,42.0,,1.0,4.0,3.0,5.0,,7.0,62.0,7.0,1.0,1.0,7.0,,,,,6.0,75.0,81.0,81.0,75.0,82.0,82,82.0,82.0,76.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,78,40.0,38.0,,,1.0,1.0,2.0,,12.0,62.0,7.0,,1.0,3.0,,,3.0,1.0,5.0,71.0,78.0,77.0,75.0,78.0,78,75.0,77.0,73.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,97,41.0,56.0,,1.0,1.0,4.0,6.0,,11.0,74.0,2.0,,1.0,10.0,,1.0,2.0,,8.0,95.0,97.0,96.0,87.0,97.0,96,95.0,97.0,89.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,108,52.0,56.0,,,3.0,2.0,10.0,,11.0,82.0,5.0,1.0,4.0,20.0,1.0,,1.0,3.0,14.0,103.0,107.0,104.0,88.0,107.0,108,107.0,105.0,94.0,02/11/2020 12:00:00 AM
2015-16,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,96,40.0,56.0,,,2.0,4.0,7.0,,15.0,68.0,5.0,,1.0,15.0,,,2.0,,6.0,91.0,96.0,95.0,81.0,96.0,96,94.0,96.0,90.0,02/11/2020 12:00:00 AM
2014-15,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,1st Grade,97,49.0,48.0,,1.0,2.0,4.0,15.0,,7.0,68.0,10.0,,3.0,18.0,1.0,,,1.0,10.0,87.0,97.0,94.0,79.0,96.0,97,97.0,96.0,87.0,02/11/2020 12:00:00 AM
2019-20,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,70,33.0,37.0,,,1.0,4.0,1.0,,9.0,55.0,7.0,,1.0,7.0,,,1.0,,7.0,63.0,70.0,69.0,63.0,70.0,70,69.0,70.0,63.0,02/11/2020 12:00:00 AM
2018-19,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,90,42.0,48.0,,,1.0,3.0,8.0,,11.0,67.0,4.0,1.0,,7.0,,1.0,,,8.0,86.0,89.0,90.0,83.0,90.0,89,90.0,90.0,82.0,02/11/2020 12:00:00 AM
2017-18,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,104,51.0,53.0,,1.0,4.0,2.0,11.0,,11.0,75.0,8.0,1.0,5.0,20.0,1.0,,,2.0,18.0,96.0,103.0,99.0,84.0,103.0,104,104.0,102.0,86.0,02/11/2020 12:00:00 AM
2016-17,School,King,Puget Sound Educational Service District 121,100006,17001,Seattle School District #1,100229,2138.0,Adams Elementary School,101054.0,P,2nd Grade,91,41.0,50.0,,1.0,1.0,5.0,7.0,,12.0,65.0,7.0,,5.0,17.0,,,1.0,1.0,10.0,84.0,91.0,86.0,74.0,91.0,91,90.0,90.0,81.0,02/11/2020 12:00:00 AM
