County1,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization (LU Organization),OrganizationLevel (PublicDirectory)1,s/d/st,School Code,School Name,School Organization Id,School Year,N_MEAN
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Adams Elementary School,School,Adams Elementary School,2138.0,Adams Elementary School,101054.0,2018-19,12.1
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Aki Kurose Middle School,School,Aki Kurose Middle School,3774.0,Aki Kurose Middle School,101143.0,2018-19,9.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Alki Elementary School,School,Alki Elementary School,2181.0,Alki Elementary School,101061.0,2018-19,14.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Arbor Heights Elementary School,School,Arbor Heights Elementary School,2730.0,Arbor Heights Elementary School,101102.0,2018-19,11.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,B F Day Elementary School,School,B F Day Elementary School,3717.0,B F Day Elementary School,101139.0,2018-19,8.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Bailey Gatzert Elementary School,School,Bailey Gatzert Elementary School,2307.0,Bailey Gatzert Elementary School,101081.0,2018-19,11.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Ballard High School,School,Ballard High School,2220.0,Ballard High School,101071.0,2018-19,11.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Beacon Hill International School,School,Beacon Hill International School,2070.0,Beacon Hill International School,101039.0,2018-19,12.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Birth to 3 Contracts,School,Birth to 3 Contracts,5048.0,Birth to 3 Contracts,104200.0,2018-19,15.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Bridges Transition,School,Bridges Transition,5406.0,Bridges Transition,105910.0,2018-19,12.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Broadview-Thomson K-8 School,School,Broadview-Thomson K-8 School,2209.0,Broadview-Thomson K-8 School,101068.0,2018-19,10.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Bryant Elementary School,School,Bryant Elementary School,2372.0,Bryant Elementary School,101087.0,2018-19,12.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Cascade Parent Partnership Program,School,Cascade Parent Partnership Program,1751.0,Cascade Parent Partnership Program,101004.0,2018-19,11.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Cascadia Elementary,School,Cascadia Elementary,5292.0,Cascadia Elementary,105540.0,2018-19,7.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Catharine Blaine K-8 School,School,Catharine Blaine K-8 School,2838.0,Catharine Blaine K-8 School,101106.0,2018-19,10.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Cedar Park Elementary School,School,Cedar Park Elementary School,5487.0,Cedar Park Elementary School,106070.0,2018-19,6.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Chief Sealth International High School,School,Chief Sealth International High School,3096.0,Chief Sealth International High School,101118.0,2018-19,10.1
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Cleveland High School STEM,School,Cleveland High School STEM,2392.0,Cleveland High School STEM,101089.0,2018-19,8.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Concord International School,School,Concord International School,2199.0,Concord International School,101064.0,2018-19,9.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Daniel Bagley Elementary School,School,Daniel Bagley Elementary School,2450.0,Daniel Bagley Elementary School,101094.0,2018-19,11.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,David T. Denny International Middle School,School,David T. Denny International Middle School,2839.0,David T. Denny International Middle School,101107.0,2018-19,10.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Dearborn Park International School,School,Dearborn Park International School,3803.0,Dearborn Park International School,101145.0,2018-19,9.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Dunlap Elementary School,School,Dunlap Elementary School,2321.0,Dunlap Elementary School,101082.0,2018-19,13.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Eckstein Middle School,School,Eckstein Middle School,2729.0,Eckstein Middle School,101101.0,2018-19,13.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Edmonds S. Meany Middle School,School,Edmonds S. Meany Middle School,5485.0,Edmonds S. Meany Middle School,106068.0,2018-19,6.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Emerson Elementary School,School,Emerson Elementary School,2118.0,Emerson Elementary School,101049.0,2018-19,5.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Fairmount Park Elementary School,School,Fairmount Park Elementary School,3518.0,Fairmount Park Elementary School,101135.0,2018-19,10.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Franklin High School,School,Franklin High School,2182.0,Franklin High School,101062.0,2018-19,13.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Frantz Coe Elementary School,School,Frantz Coe Elementary School,2090.0,Frantz Coe Elementary School,101045.0,2018-19,11.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Garfield High School,School,Garfield High School,2306.0,Garfield High School,101080.0,2018-19,9.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Gatewood Elementary School,School,Gatewood Elementary School,2139.0,Gatewood Elementary School,101055.0,2018-19,11.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Genesee Hill Elementary,School,Genesee Hill Elementary,3429.0,Genesee Hill Elementary,101129.0,2018-19,10.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Graham Hill Elementary School,School,Graham Hill Elementary School,3378.0,Graham Hill Elementary School,101126.0,2018-19,7.5
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Green Lake Elementary School,School,Green Lake Elementary School,2061.0,Green Lake Elementary School,101036.0,2018-19,11.7
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Greenwood Elementary School,School,Greenwood Elementary School,2123.0,Greenwood Elementary School,101053.0,2018-19,15.0
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Hamilton International Middle School,School,Hamilton International Middle School,2371.0,Hamilton International Middle School,101086.0,2018-19,11.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Hawthorne Elementary School,School,Hawthorne Elementary School,4248.0,Hawthorne Elementary School,101174.0,2018-19,8.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Hazel Wolf K-8,School,Hazel Wolf K-8,5175.0,Hazel Wolf K-8,104944.0,2018-19,13.8
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Highland Park Elementary School,School,Highland Park Elementary School,2269.0,Highland Park Elementary School,101077.0,2018-19,7.1
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Ingraham High School,School,Ingraham High School,3276.0,Ingraham High School,101123.0,2018-19,10.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Interagency Open Doors,School,Interagency Open Doors,5405.0,Interagency Open Doors,105909.0,2018-19,9.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Interagency Programs,School,Interagency Programs,1635.0,Interagency Programs,100996.0,2018-19,10.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Jane Addams Middle School,School,Jane Addams Middle School,5351.0,Jane Addams Middle School,105777.0,2018-19,7.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,John Hay Elementary School,School,John Hay Elementary School,2063.0,John Hay Elementary School,101037.0,2018-19,8.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,John Muir Elementary School,School,John Muir Elementary School,2143.0,John Muir Elementary School,101058.0,2018-19,9.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,John Rogers Elementary School,School,John Rogers Elementary School,2975.0,John Rogers Elementary School,101111.0,2018-19,9.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,John Stanford International School,School,John Stanford International School,2081.0,John Stanford International School,101042.0,2018-19,9.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Kimball Elementary School,School,Kimball Elementary School,3478.0,Kimball Elementary School,101130.0,2018-19,13.3
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Lafayette Elementary School,School,Lafayette Elementary School,2733.0,Lafayette Elementary School,101105.0,2018-19,11.9
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Laurelhurst Elementary School,School,Laurelhurst Elementary School,2437.0,Laurelhurst Elementary School,101093.0,2018-19,12.4
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Lawton Elementary School,School,Lawton Elementary School,2183.0,Lawton Elementary School,101063.0,2018-19,12.6
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Leschi Elementary School,School,Leschi Elementary School,2121.0,Leschi Elementary School,101052.0,2018-19,8.2
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Licton Springs K-8,School,Licton Springs K-8,3874.0,Licton Springs K-8,101152.0,2018-19,9.1
King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Louisa Boren STEM K-8,School,Louisa Boren STEM K-8,5276.0,Louisa Boren STEM K-8,105493.0,2018-19,9.4
