[SchoolYearCode]+' School Year',County,District Code,District Name,District Organization Id,ESD Name,ESD Organization Id,Organization,OrganizationCode,organizationid9,Organizationid10,OrganizationLevel (PublicDirectory),OrganizationName,QualitificationName,School Code,School Name,School Organization Id,SchoolYear,SchoolYearCode,teacher/teachers,Teacher Count,Teacher Percent,Teacher Total Count
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Adams Elementary School,2138,101054,101054,School,Adams Elementary School,Inexperienced status,2138.0,Adams Elementary School,101054.0,2018-19,2018-19,teachers,6,15.8%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Adams Elementary School,2138,101054,101054,School,Adams Elementary School,Limited Certificate status,2138.0,Adams Elementary School,101054.0,2018-19,2018-19,teachers,1,2.6%,38
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Adams Elementary School,2138,101054,101054,School,Adams Elementary School,Out-of-Field status,2138.0,Adams Elementary School,101054.0,2018-19,2018-19,teachers,2,5.1%,39
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Aki Kurose Middle School,3774,101143,101143,School,Aki Kurose Middle School,Inexperienced status,3774.0,Aki Kurose Middle School,101143.0,2018-19,2018-19,teachers,17,37.8%,45
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Aki Kurose Middle School,3774,101143,101143,School,Aki Kurose Middle School,Limited Certificate status,3774.0,Aki Kurose Middle School,101143.0,2018-19,2018-19,teachers,4,8.9%,45
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Aki Kurose Middle School,3774,101143,101143,School,Aki Kurose Middle School,Out-of-Field status,3774.0,Aki Kurose Middle School,101143.0,2018-19,2018-19,teachers,14,25.0%,56
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Alki Elementary School,2181,101061,101061,School,Alki Elementary School,Inexperienced status,2181.0,Alki Elementary School,101061.0,2018-19,2018-19,teachers,5,19.2%,26
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Alki Elementary School,2181,101061,101061,School,Alki Elementary School,Limited Certificate status,2181.0,Alki Elementary School,101061.0,2018-19,2018-19,teachers,0,0.0%,26
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Alki Elementary School,2181,101061,101061,School,Alki Elementary School,Out-of-Field status,2181.0,Alki Elementary School,101061.0,2018-19,2018-19,teachers,1,3.7%,27
2018-19,King,17001,Seattle School District #1,100229,Puget Sound Educational Service District 121,100006,Seattle School District #1 - Arbor Heights Elementary School,2730,101102,101102,School,Arbor Heights Elementary School,Inexperienced status,2730.0,Arbor Heights Elementary School,101102.0,2018-19,2018-19,teachers,11,26.2%,42
